Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",extruding-and-forming-machine-setters-operators-and-tenders-synthetic-and-glass-fibers,production-occupations,2,-,2,-,0,-,2011
Fabric and apparel patternmakers,fabric-and-apparel-patternmakers,production-occupations,5,-,2,-,2,-,2011
Upholsterers,upholsterers,production-occupations,34,-,30,-,4,-,2011
"Textile, apparel, and furnishings workers, all other",textile-apparel-and-furnishings-workers-all-other,production-occupations,15,-,9,-,5,-,2011
Cabinetmakers and bench carpenters,cabinetmakers-and-bench-carpenters,production-occupations,42,-,41,-,1,-,2011
Furniture finishers,furniture-finishers,production-occupations,11,-,9,-,2,-,2011
"Model makers and patternmakers, wood",model-makers-and-patternmakers-wood,production-occupations,1,-,1,-,0,-,2011
"Sawing machine setters, operators, and tenders, wood",sawing-machine-setters-operators-and-tenders-wood,production-occupations,31,-,30,-,1,-,2011
"Woodworking machine setters, operators, and tenders, except sawing",woodworking-machine-setters-operators-and-tenders-except-sawing,production-occupations,17,-,15,-,2,-,2011
"Woodworkers, all other",woodworkers-all-other,production-occupations,10,-,8,-,2,-,2011
"Power plant operators, distributors, and dispatchers",power-plant-operators-distributors-and-dispatchers,production-occupations,53,"1,091",52,"1,085",1,-,2011
Stationary engineers and boiler operators,stationary-engineers-and-boiler-operators,production-occupations,93,855,92,851,1,-,2011
Water and wastewater treatment plant and system operators,water-and-wastewater-treatment-plant-and-system-operators,production-occupations,75,780,70,788,5,-,2011
Miscellaneous plant and system operators,miscellaneous-plant-and-system-operators,production-occupations,37,-,34,-,3,-,2011
"Chemical processing machine setters, operators, and tenders",chemical-processing-machine-setters-operators-and-tenders,production-occupations,66,853,52,947,14,-,2011
"Crushing, grinding, polishing, mixing, and blending workers",crushing-grinding-polishing-mixing-and-blending-workers,production-occupations,94,659,82,702,12,-,2011
Cutting workers,cutting-workers,production-occupations,69,518,55,540,13,-,2011
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",extruding-forming-pressing-and-compacting-machine-setters-operators-and-tenders,production-occupations,31,-,28,-,3,-,2011
"Furnace, kiln, oven, drier, and kettle operators and tenders",furnace-kiln-oven-drier-and-kettle-operators-and-tenders,production-occupations,11,-,11,-,0,-,2011
"Inspectors, testers, sorters, samplers, and weighers",inspectors-testers-sorters-samplers-and-weighers,production-occupations,608,675,396,792,212,541,2011
Jewelers and precious stone and metal workers,jewelers-and-precious-stone-and-metal-workers,production-occupations,14,-,7,-,7,-,2011
"Medical, dental, and ophthalmic laboratory technicians",medical-dental-and-ophthalmic-laboratory-technicians,production-occupations,68,612,34,-,34,-,2011
Packaging and filling machine operators and tenders,packaging-and-filling-machine-operators-and-tenders,production-occupations,259,455,120,505,139,421,2011
Painting workers,painting-workers,production-occupations,111,602,99,608,12,-,2011
Photographic process workers and processing machine operators,photographic-process-workers-and-processing-machine-operators,production-occupations,24,-,10,-,13,-,2011
Semiconductor processors,semiconductor-processors,production-occupations,4,-,3,-,1,-,2011
Adhesive bonding machine operators and tenders,adhesive-bonding-machine-operators-and-tenders,production-occupations,10,-,4,-,6,-,2011
"Cleaning, washing, and metal pickling equipment operators and tenders",cleaning-washing-and-metal-pickling-equipment-operators-and-tenders,production-occupations,13,-,9,-,3,-,2011
Cooling and freezing equipment operators and tenders,cooling-and-freezing-equipment-operators-and-tenders,production-occupations,3,-,3,-,0,-,2011
Etchers and engravers,etchers-and-engravers,production-occupations,7,-,4,-,2,-,2011
"Molders, shapers, and casters, except metal and plastic",molders-shapers-and-casters-except-metal-and-plastic,production-occupations,21,-,15,-,6,-,2011
"Paper goods machine setters, operators, and tenders",paper-goods-machine-setters-operators-and-tenders,production-occupations,31,-,23,-,8,-,2011
Tire builders,tire-builders,production-occupations,17,-,16,-,1,-,2011
Helpers--production workers,helpers-production-workers,production-occupations,45,-,40,-,6,-,2011
"Production workers, all other",production-workers-all-other,production-occupations,652,579,502,612,151,483,2011
Transportation and material moving occupations,transportation-and-material-moving-occupations,production-transportation-and-material-moving-occupations,"6,275",614,"5,489",634,786,490,2011
Supervisors of transportation and material moving workers,supervisors-of-transportation-and-material-moving-workers,transportation-and-material-moving-occupations,208,761,170,773,38,-,2011
Aircraft pilots and flight engineers,aircraft-pilots-and-flight-engineers,transportation-and-material-moving-occupations,93,"1,461",89,"1,466",4,-,2011
Air traffic controllers and airfield operations specialists,air-traffic-controllers-and-airfield-operations-specialists,transportation-and-material-moving-occupations,40,-,35,-,5,-,2011
Flight attendants,flight-attendants,transportation-and-material-moving-occupations,52,791,14,-,38,-,2011
"Ambulance drivers and attendants, except emergency medical technicians",ambulance-drivers-and-attendants-except-emergency-medical-technicians,transportation-and-material-moving-occupations,9,-,9,-,0,-,2011
Bus drivers,bus-drivers,transportation-and-material-moving-occupations,310,608,188,645,122,579,2011
Driver/sales workers and truck drivers,driver-sales-workers-and-truck-drivers,transportation-and-material-moving-occupations,"2,439",705,"2,337",712,102,511,2011
Taxi drivers and chauffeurs,taxi-drivers-and-chauffeurs,transportation-and-material-moving-occupations,207,553,178,576,29,-,2011
"Motor vehicle operators, all other",motor-vehicle-operators-all-other,transportation-and-material-moving-occupations,28,-,26,-,1,-,2011
Locomotive engineers and operators,locomotive-engineers-and-operators,transportation-and-material-moving-occupations,43,-,42,-,2,-,2011
"Railroad brake, signal, and switch operators",railroad-brake-signal-and-switch-operators,transportation-and-material-moving-occupations,6,-,6,-,0,-,2011
Railroad conductors and yardmasters,railroad-conductors-and-yardmasters,transportation-and-material-moving-occupations,48,-,45,-,3,-,2011
"Subway, streetcar, and other rail transportation workers",subway-streetcar-and-other-rail-transportation-workers,transportation-and-material-moving-occupations,14,-,12,-,2,-,2011
Sailors and marine oilers,sailors-and-marine-oilers,transportation-and-material-moving-occupations,23,-,23,-,0,-,2011
Ship and boat captains and operators,ship-and-boat-captains-and-operators,transportation-and-material-moving-occupations,35,-,35,-,0,-,2011
Ship engineers,ship-engineers,transportation-and-material-moving-occupations,6,-,6,-,0,-,2011
Bridge and lock tenders,bridge-and-lock-tenders,transportation-and-material-moving-occupations,7,-,7,-,0,-,2011
Parking lot attendants,parking-lot-attendants,transportation-and-material-moving-occupations,46,-,40,-,5,-,2011
Automotive and watercraft service attendants,automotive-and-watercraft-service-attendants,transportation-and-material-moving-occupations,42,-,40,-,2,-,2011
Transportation inspectors,transportation-inspectors,transportation-and-material-moving-occupations,32,-,28,-,5,-,2011
"Transportation attendants, except flight attendants",transportation-attendants-except-flight-attendants,transportation-and-material-moving-occupations,13,-,5,-,8,-,2011
Other transportation workers,other-transportation-workers,transportation-and-material-moving-occupations,15,-,14,-,1,-,2011
Conveyor operators and tenders,conveyor-operators-and-tenders,transportation-and-material-moving-occupations,5,-,2,-,3,-,2011
Crane and tower operators,crane-and-tower-operators,transportation-and-material-moving-occupations,63,739,62,736,1,-,2011
"Dredge, excavating, and loading machine operators",dredge-excavating-and-loading-machine-operators,transportation-and-material-moving-occupations,37,-,37,-,0,-,2011
Hoist and winch operators,hoist-and-winch-operators,transportation-and-material-moving-occupations,5,-,3,-,2,-,2011
Industrial truck and tractor operators,industrial-truck-and-tractor-operators,transportation-and-material-moving-occupations,491,562,456,556,35,-,2011
Cleaners of vehicles and equipment,cleaners-of-vehicles-and-equipment,transportation-and-material-moving-occupations,230,465,206,458,25,-,2011
"Laborers and freight, stock, and material movers, hand",laborers-and-freight-stock-and-material-movers-hand,transportation-and-material-moving-occupations,"1,260",509,"1,085",520,175,416,2011
Machine feeders and offbearers,machine-feeders-and-offbearers,transportation-and-material-moving-occupations,32,-,27,-,5,-,2011
"Packers and packagers, hand",packers-and-packagers-hand,transportation-and-material-moving-occupations,300,397,135,396,165,397,2011
Pumping station operators,pumping-station-operators,transportation-and-material-moving-occupations,26,-,26,-,0,-,2011
Refuse and recyclable material collectors,refuse-and-recyclable-material-collectors,transportation-and-material-moving-occupations,58,541,56,580,3,-,2011
Mine shuttle car operators,mine-shuttle-car-operators,transportation-and-material-moving-occupations,1,-,0,-,1,-,2011
"Tank car, truck, and ship loaders",tank-car-truck-and-ship-loaders,transportation-and-material-moving-occupations,3,-,2,-,0,-,2011
"Material moving workers, all other",material-moving-workers-all-other,transportation-and-material-moving-occupations,45,-,42,-,3,-,2011
